"采集点位编码
（工位号）",设置部位,监测物名称,监测物类型,报警上限,报警上上限,监测值单位,数据采集频率(秒),点编号,点类型,量程下限,量程上限
QT63501,尿素分场泵房南墙西,氨气,S0102,21.21,42.42,ppm ,0.5,1,AP,0,100
QT63502,尿素分场泵房水解泵立柱,氨气,S0102,21.21,42.42,ppm ,0.5,2,AP,0,100
QT63503,尿素分场泵房常压吸收塔泵立柱,氨气,S0102,21.21,42.42,ppm ,0.5,3,AP,0,100
QT63504,尿素分场泵房低调水泵立柱,氨气,S0102,21.21,42.42,ppm ,0.5,4,AP,0,100
QT63505,尿素泵房尿液泵立柱,氨气,S0102,21.21,42.42,ppm ,0.5,5,AP,0,100
QT63506,尿素泵房高调水泵立柱,氨气,S0102,21.21,42.42,ppm ,0.5,6,AP,0,100
QT63507,尿素泵房北墙,氨气,S0102,21.21,42.42,ppm ,0.5,7,AP,0,100
QT63508,尿素泵房东墙,氨气,S0102,21.21,42.42,ppm ,0.5,8,AP,0,100
QT63509,尿素泵房冷凝液泵处,氨气,S0102,21.21,42.42,ppm ,0.5,9,AP,0,100
QT63510,尿素泵房液氨泵A处,氨气,S0102,21.21,42.42,ppm ,0.5,10,AP,0,100
QT63511,尿素泵房液氨泵B处,氨气,S0102,21.21,42.42,ppm ,0.5,11,AP,0,100
QT63512,尿素泵房甲铵泵A处,氨气,S0102,21.21,42.42,ppm ,0.5,12,AP,0,100
QT63513,尿素泵房甲铵泵B处南,氨气,S0102,21.21,42.42,ppm ,0.5,13,AP,0,100
QT63514,尿素泵房甲铵泵B处北,氨气,S0102,21.21,42.42,ppm ,0.5,14,AP,0,100
QT63515,尿素合成装置二楼液氨储罐西侧,氨气,S0102,21.21,42.42,ppm ,0.5,15,AP,0,100
QT63516,尿素合成装置二楼走梯西侧,氨气,S0102,21.21,42.42,ppm ,0.5,16,AP,0,100
QT63517,尿素合成装置二楼低调水换热器西侧处,氨气,S0102,21.21,42.42,ppm ,0.5,17,AP,0,100
QT63518,尿素合成装置二楼熔融泵西门室外处,氨气,S0102,21.21,42.42,ppm ,0.5,18,AP,0,100
QT63526,尿素合成装置二楼熔融泵西墙外中间处,氨气,S0102,21.21,42.42,ppm ,0.5,19,AP,0,100
QT63520,尿素合成装置二楼熔融泵间西墙,氨气,S0102,21.21,42.42,ppm ,0.5,20,AP,0,100
QT63521,尿素合成装置二楼低压吸收塔冷却器北,氨气,S0102,21.21,42.42,ppm ,0.5,21,AP,0,100
QT63522,尿素合成装置二楼走梯东侧,氨气,S0102,21.21,42.42,ppm ,0.5,22,AP,0,100
QT63523,尿素合成装置二楼液氨罐东侧,氨气,S0102,21.21,42.42,ppm ,0.5,23,AP,0,100
QT63524,尿素合成装置二楼低调水换热器东侧,氨气,S0102,21.21,42.42,ppm ,0.5,24,AP,0,100
QT63519,尿素合成装置二楼熔融泵B处,氨气,S0102,21.21,42.42,ppm ,0.5,25,AP,0,100
QT63525,尿素合成装置二楼2.5蒸汽放空调节,氨气,S0102,21.21,42.42,ppm ,0.5,26,AP,0,100
QT63527,尿素合成装置二楼低压甲铵冷凝器处,氨气,S0102,21.21,42.42,ppm ,0.5,27,AP,0,100
QT63528,尿素合成装置二楼气提塔北侧,氨气,S0102,21.21,42.42,ppm ,0.5,28,AP,0,100
QT63529,尿素合成装置三楼走梯南侧,氨气,S0102,21.21,42.42,ppm ,0.5,29,AP,0,100
QT63530,尿素合成装置三楼走梯西侧,氨气,S0102,21.21,42.42,ppm ,0.5,30,AP,0,100
QT63531,尿素合成装置三楼蒸发下液管线西侧,氨气,S0102,21.21,42.42,ppm ,0.5,31,AP,0,100
QT63532,尿素合成装置三楼蒸发下液管线东侧,氨气,S0102,21.21,42.42,ppm ,0.5,32,AP,0,100
QT63534,尿素合成装置三楼高甲冷排放管线处,氨气,S0102,21.21,42.42,ppm ,0.5,33,AP,0,100
QT63535,尿素合成装置三楼常压吸收塔东侧,氨气,S0102,21.21,42.42,ppm ,0.5,34,AP,0,100
QT63536,尿素合成装置三楼走梯东南侧,氨气,S0102,21.21,42.42,ppm ,0.5,35,AP,0,100
QT63538,尿素合成装置三楼低甲冷气相管线处,氨气,S0102,21.21,42.42,ppm ,0.5,36,AP,0,100
QT63533,尿素合成装置三楼合成塔排放管线处,氨气,S0102,21.21,42.42,ppm ,0.5,37,AP,0,100
QT63537,尿素合成装置三楼走梯东侧,氨气,S0102,21.21,42.42,ppm ,0.5,38,AP,0,100
QT63539,尿素合成装置三楼液氨管线安全阀东侧,氨气,S0102,21.21,42.42,ppm ,0.5,39,AP,0,100
QT63540,尿素合成装置三楼低甲冷液位槽南侧,氨气,S0102,21.21,42.42,ppm ,0.5,40,AP,0,100
QT63541,尿素合成装置三楼低甲冷东侧,氨气,S0102,21.21,42.42,ppm ,0.5,41,AP,0,100
QT63542,尿素合成装置三楼气提塔南侧,氨气,S0102,21.21,42.42,ppm ,0.5,42,AP,0,100
alarmtest1,尿素合成装置三楼气提塔南侧,氨气,S0102,25,42.42,KPa,,43,AP,0,100
alarmtest2,尿素合成装置三楼气提塔南侧,氨气,S0102,25,42.42,KPa,,44,AP,0,100
alarmtest3,尿素合成装置三楼气提塔南侧,氨气,S0102,25,42.42,KPa,,45,AP,0,100
alarmtest4,尿素合成装置三楼气提塔南侧,氨气,S0102,25,42.42,KPa,,46,AP,0,100
alarmtest5,尿素合成装置三楼气提塔南侧,氨气,S0102,25,42.42,KPa,,47,AP,0,100
